Date,AAPL close,AAPL signal,Cash,AAPL shorted,AAPL bought,AAPL cash,AAPL sold,Daily_Ret
2001-01-02,0.265625,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-01-03,0.2924107015132904,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-01-04,0.3046875,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-01-05,0.2924107015132904,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-01-08,0.2957589328289032,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-01-09,0.3069196343421936,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-01-10,0.2957589328289032,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-01-11,0.3214285671710968,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-01-12,0.3069196343421936,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-01-16,0.3058035671710968,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-01-17,0.3002232015132904,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-01-18,0.3337053656578064,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-01-19,0.3482142984867096,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-01-22,0.34375,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-01-23,0.3660714328289032,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-01-24,0.3660714328289032,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-01-25,0.3560267984867096,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-01-26,0.3493303656578064,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-01-29,0.3872767984867096,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-01-30,0.3883928656578064,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-01-31,0.3861607015132904,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-02-01,0.3772321343421936,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-02-02,0.3683035671710968,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-02-05,0.3604910671710968,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-02-06,0.3772321343421936,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-02-07,0.3705357015132904,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2001-02-08,0.3705357015132904,-1,21295.989153036237,0,0,21295.989153036237,0,0.36625505404201375
2001-02-09,0.3415178656578064,0,21295.989153036237,0,0,21295.989153036237,0,0.0
2001-02-12,0.3515625,0,21295.989153036237,0,0,21295.989153036237,0,0.0
2001-02-13,0.3415178656578064,0,21295.989153036237,0,0,21295.989153036237,0,0.0
2001-02-14,0.3482142984867096,0,21295.989153036237,0,0,21295.989153036237,0,0.0
2001-02-15,0.3582589328289032,0,21295.989153036237,0,0,21295.989153036237,0,0.0
2001-02-16,0.3392857015132904,0,21295.989153036237,0,0,21295.989153036237,0,0.0
2001-02-20,0.3270089328289032,0,21295.989153036237,0,0,21295.989153036237,0,0.0
2001-02-21,0.3370535671710968,0,21295.989153036237,0,0,21295.989153036237,0,0.0
2001-02-22,0.3359375,0,21295.989153036237,0,0,21295.989153036237,0,0.0
2001-02-23,0.3359375,0,21295.989153036237,0,0,21295.989153036237,0,0.0
2001-02-26,0.3482142984867096,0,21295.989153036237,0,0,21295.989153036237,0,0.0
2001-02-27,0.3459821343421936,0,21295.989153036237,0,0,21295.989153036237,0,0.0
2001-02-28,0.3258928656578064,0,21295.989153036237,0,0,21295.989153036237,0,0.0
2001-03-01,0.3348214328289032,0,21295.989153036237,0,0,21295.989153036237,0,0.0
2001-03-02,0.34375,0,21295.989153036237,0,0,21295.989153036237,0,0.0
2001-03-05,0.3638392984867096,0,21295.989153036237,0,0,21295.989153036237,0,0.0
2001-03-06,0.3839285671710968,1,21295.989153036237,0,0,21295.989153036237,0,0.0
2001-03-07,0.3794642984867096,0,21295.989153036237,0,0,21295.989153036237,0,0.0
2001-03-08,0.3716517984867096,0,21295.989153036237,0,0,21295.989153036237,0,0.0
2001-03-09,0.3616071343421936,0,21295.989153036237,0,0,21295.989153036237,0,0.0
2001-03-12,0.3325892984867096,-1,18448.270586315757,0,0,18448.270586315757,0,-0.13372088735847576
2001-03-13,0.3493303656578064,0,18448.270586315757,0,0,18448.270586315757,0,0.0
2001-03-14,0.3649553656578064,0,18448.270586315757,0,0,18448.270586315757,0,0.0
2001-03-15,0.3515625,0,18448.270586315757,0,0,18448.270586315757,0,0.0
2001-03-16,0.3504464328289032,0,18448.270586315757,0,0,18448.270586315757,0,0.0
2001-03-19,0.3671875,0,18448.270586315757,0,0,18448.270586315757,0,0.0
2001-03-20,0.3515625,0,18448.270586315757,0,0,18448.270586315757,0,0.0
2001-03-21,0.359375,0,18448.270586315757,0,0,18448.270586315757,0,0.0
2001-03-22,0.3861607015132904,1,18448.270586315757,0,0,18448.270586315757,0,0.0
2001-03-23,0.4107142984867096,0,18448.270586315757,0,0,18448.270586315757,0,0.0
2001-03-26,0.3889285624027252,0,18448.270586315757,0,0,18448.270586315757,0,0.0
2001-03-27,0.40839284658432007,0,18448.270586315757,0,0,18448.270586315757,0,0.0
2001-03-28,0.395892858505249,0,18448.270586315757,0,0,18448.270586315757,0,0.0
2001-03-29,0.4023214280605316,0,18448.270586315757,0,0,18448.270586315757,0,0.0
2001-03-30,0.3941071331501007,0,18448.270586315757,0,0,18448.270586315757,0,0.0
2001-04-02,0.38553571701049805,0,18448.270586315757,0,0,18448.270586315757,0,0.0
2001-04-03,0.36142855882644653,-1,17266.72813862947,0,0,17266.72813862947,0,-0.06404624445191687
2001-04-04,0.3482142984867096,0,17266.72813862947,0,0,17266.72813862947,0,0.0
2001-04-05,0.37267857789993286,0,17266.72813862947,0,0,17266.72813862947,0,0.0
2001-04-06,0.36767858266830444,0,17266.72813862947,0,0,17266.72813862947,0,0.0
